Site_Code,Site_Name,Long,Lat
TRH,Tepe Rahmat Abad,53.05774722,30.11208333
TMS,Tal-i Mushki,52.96494722,29.81067222
TNB,Tol-e Nurabad,51.52121667,30.1224
TJA,Tal-i Jari A,52.93935833,29.83546667
TBS,Tol-e Bashi,52.59,30.08
HMG,Hormangan,53.51537389,30.50747583
TKA,Tal-e Kutahi,52.50527778,29.58277778
KHZ,Kushk-e Hazar,52.54232551,29.88960294
TGR,Tal-i Gaudi Rahim ,53.22700497,29.26428289
KT,Kara Tepe,52.67174061,29.97887663
TSY,Tal-i Siyah,52.54721244,30.01751551
8E6,8E6,52.47988946,30.01936657
8E3,8E3,52.30328906,30.1029723
5F1,5F1,52.39226428,30.31687162
TMG,Tal-i Morge,51.66340838,29.59684199
TB130,TB130 Bolaghi,53.1072655,30.15580305
TJB,Tal-i Jari B,52.93935833,29.83546667
